Date,24 hr New Snow,Season Snowfall Total,Base Depth
30-Nov-15,3 cm,592 cm,56 cm
5-Dec-15,3 cm,595 cm,51 cm
8-Dec-15,3 cm,598 cm,53 cm
11-Dec-15,13 cm,611 cm,53 cm
13-Dec-15,5 cm,616 cm,61 cm
14-Dec-15,15 cm,631 cm,71 cm
15-Dec-15,41 cm,672 cm,104 cm
16-Dec-15,13 cm,685 cm,109 cm
17-Dec-15,36 cm,721 cm,122 cm
20-Dec-15,23 cm,744 cm,109 cm
21-Dec-15,18 cm,762 cm,109 cm
22-Dec-15,23 cm,785 cm,135 cm
23-Dec-15,48 cm,833 cm,140 cm
24-Dec-15,30 cm,863 cm,168 cm
25-Dec-15,10 cm,873 cm,163 cm
26-Dec-15,15 cm,888 cm,165 cm
27-Dec-15,3 cm,891 cm,165 cm
30-Dec-15,5 cm,896 cm,142 cm
4-Jan-14,10 cm,10 cm,109 cm
7-Jan-14,3 cm,13 cm,119 cm
8-Jan-14,23 cm,36 cm,122 cm
9-Jan-14,41 cm,77 cm,142 cm
10-Jan-14,8 cm,85 cm,165 cm
12-Jan-14,36 cm,121 cm,165 cm
13-Jan-14,8 cm,129 cm,183 cm
30-Jan-14,33 cm,162 cm,168 cm
1-Feb-14,18 cm,180 cm,173 cm
2-Feb-14,3 cm,183 cm,173 cm
4-Feb-14,13 cm,196 cm,185 cm
5-Feb-14,5 cm,201 cm,185 cm
7-Feb-14,25 cm,226 cm,185 cm
9-Feb-14,10 cm,236 cm,213 cm
10-Feb-14,20 cm,256 cm,216 cm
11-Feb-14,5 cm,261 cm,224 cm
12-Feb-14,10 cm,271 cm,224 cm
13-Feb-14,10 cm,281 cm,229 cm
14-Feb-14,10 cm,291 cm,236 cm
17-Feb-14,8 cm,299 cm,244 cm
19-Feb-14,8 cm,307 cm,229 cm
20-Feb-14,13 cm,320 cm,241 cm
21-Feb-14,8 cm,328 cm,241 cm
22-Feb-14,3 cm,331 cm,241 cm
23-Feb-14,3 cm,334 cm,241 cm
27-Feb-14,18 cm,352 cm,221 cm
28-Feb-14,15 cm,367 cm,251 cm
1-Mar-14,20 cm,387 cm,267 cm
2-Mar-14,8 cm,395 cm,267 cm
4-Mar-14,8 cm,403 cm,259 cm
7-Mar-14,13 cm,416 cm,262 cm
8-Mar-14,3 cm,419 cm,269 cm
11-Mar-14,36 cm,455 cm,274 cm
15-Mar-14,8 cm,463 cm,277 cm
18-Mar-14,28 cm,491 cm,295 cm
19-Mar-14,10 cm,501 cm,295 cm
23-Mar-14,3 cm,504 cm,290 cm
26-Mar-14,8 cm,512 cm,267 cm
27-Mar-14,20 cm,532 cm,282 cm
28-Mar-14,18 cm,550 cm,282 cm
31-Mar-14,33 cm,583 cm,292 cm
1-Apr-14,36 cm,619 cm,310 cm
2-Apr-14,33 cm,652 cm,330 cm
4-Apr-14,3 cm,655 cm,320 cm
6-Apr-14,8 cm,663 cm,320 cm
7-Apr-14,13 cm,676 cm,320 cm
13-Apr-14,5 cm,681 cm,287 cm
14-Apr-14,10 cm,691 cm,287 cm
23-Apr-14,10 cm,701 cm,257 cm
26-Apr-14,15 cm,716 cm,249 cm
27-Apr-14,25 cm,741 cm,264 cm
28-Apr-14,28 cm,769 cm,295 cm
7-May-14,3 cm,772 cm,259 cm
8-May-14,25 cm,797 cm,274 cm
9-May-14,3 cm,800 cm,272 cm
10-May-14,18 cm,818 cm,279 cm
11-May-14,15 cm,833 cm,297 cm
22-Nov-14,20 cm,853 cm,36 cm
23-Nov-14,43 cm,896 cm,36 cm
24-Nov-14,13 cm,909 cm,107 cm
25-Nov-14,23 cm,932 cm,107 cm
26-Nov-14,8 cm,940 cm,107 cm
1-Dec-14,3 cm,943 cm,107 cm
4-Dec-14,3 cm,946 cm,107 cm
13-Dec-14,18 cm,964 cm,74 cm
14-Dec-14,15 cm,979 cm,74 cm
15-Dec-14,8 cm,987 cm,99 cm
19-Dec-14,5 cm,992 cm,91 cm
20-Dec-14,5 cm,997 cm,91 cm
21-Dec-14,36 cm,1033 cm,91 cm
22-Dec-14,33 cm,1066 cm,127 cm
25-Dec-14,15 cm,1081 cm,163 cm
26-Dec-14,30 cm,1111 cm,163 cm
27-Dec-14,3 cm,1114 cm,163 cm
28-Dec-14,38 cm,1152 cm,163 cm
29-Dec-14,13 cm,1165 cm,196 cm
30-Dec-14,18 cm,1183 cm,193 cm
11-Jan-13,28 cm,28 cm,157 cm
12-Jan-13,10 cm,38 cm,163 cm
25-Jan-13,8 cm,46 cm,145 cm
27-Jan-13,3 cm,49 cm,152 cm
28-Jan-13,30 cm,79 cm,170 cm
29-Jan-13,8 cm,87 cm,170 cm
30-Jan-13,46 cm,133 cm,203 cm
31-Jan-13,25 cm,158 cm,203 cm
8-Feb-13,3 cm,161 cm,183 cm
9-Feb-13,13 cm,174 cm,188 cm
10-Feb-13,15 cm,189 cm,201 cm
11-Feb-13,15 cm,204 cm,196 cm
13-Feb-13,3 cm,207 cm,190 cm
14-Feb-13,3 cm,210 cm,190 cm
15-Feb-13,3 cm,213 cm,193 cm
21-Feb-13,13 cm,226 cm,180 cm
22-Feb-13,13 cm,239 cm,196 cm
23-Feb-13,18 cm,257 cm,206 cm
24-Feb-13,38 cm,295 cm,224 cm
25-Feb-13,18 cm,313 cm,221 cm
27-Feb-13,28 cm,341 cm,224 cm
28-Feb-13,3 cm,344 cm,218 cm
4-Mar-13,13 cm,357 cm,216 cm
5-Mar-13,8 cm,365 cm,216 cm
7-Mar-13,8 cm,373 cm,211 cm
8-Mar-13,8 cm,381 cm,208 cm
9-Mar-13,8 cm,389 cm,211 cm
12-Mar-13,3 cm,392 cm,213 cm
18-Mar-13,3 cm,395 cm,203 cm
21-Mar-13,25 cm,420 cm,218 cm
22-Mar-13,33 cm,453 cm,218 cm
23-Mar-13,20 cm,473 cm,218 cm
24-Mar-13,13 cm,486 cm,218 cm
1-Apr-13,3 cm,489 cm,221 cm
2-Apr-13,28 cm,517 cm,241 cm
3-Apr-13,5 cm,522 cm,246 cm
5-Apr-13,13 cm,535 cm,224 cm
6-Apr-13,18 cm,553 cm,234 cm
7-Apr-13,5 cm,558 cm,241 cm
8-Apr-13,5 cm,563 cm,236 cm
9-Apr-13,28 cm,591 cm,257 cm
11-Apr-13,13 cm,604 cm,267 cm
14-Apr-13,8 cm,612 cm,262 cm
15-Apr-13,13 cm,625 cm,259 cm
16-Apr-13,20 cm,645 cm,267 cm
18-Apr-13,13 cm,658 cm,274 cm
19-Apr-13,13 cm,671 cm,274 cm
20-Apr-13,13 cm,684 cm,274 cm
21-Apr-13,13 cm,697 cm,277 cm
23-Apr-13,3 cm,700 cm,277 cm
2-May-13,5 cm,705 cm,239 cm
21-May-13,10 cm,715 cm,198 cm
4-Oct-13,10 cm,725 cm,0 cm
11-Oct-13,3 cm,728 cm,0 cm
14-Oct-13,5 cm,733 cm,0 cm
19-Nov-13,5 cm,738 cm,0 cm
20-Nov-13,10 cm,748 cm,0 cm
2-Dec-13,5 cm,753 cm,66 cm
3-Dec-13,33 cm,786 cm,76 cm
4-Dec-13,10 cm,796 cm,97 cm
7-Dec-13,20 cm,816 cm,99 cm
8-Dec-13,3 cm,819 cm,99 cm
9-Dec-13,5 cm,824 cm,99 cm
19-Dec-13,25 cm,849 cm,86 cm
20-Dec-13,3 cm,852 cm,104 cm
21-Dec-13,13 cm,865 cm,109 cm
22-Dec-13,20 cm,885 cm,109 cm
23-Dec-13,5 cm,890 cm,127 cm
1-Jan-12,3 cm,3 cm,81 cm
2-Jan-12,3 cm,6 cm,81 cm
7-Jan-12,18 cm,24 cm,97 cm
8-Jan-12,13 cm,37 cm,97 cm
17-Jan-12,8 cm,45 cm,94 cm
19-Jan-12,36 cm,81 cm,94 cm
20-Jan-12,36 cm,117 cm,94 cm
22-Jan-12,56 cm,173 cm,86 cm
24-Jan-12,10 cm,183 cm,86 cm
27-Jan-12,23 cm,206 cm,152 cm
3-Feb-12,3 cm,209 cm,127 cm
9-Feb-12,5 cm,214 cm,127 cm
12-Feb-12,8 cm,222 cm,127 cm
13-Feb-12,23 cm,245 cm,127 cm
14-Feb-12,3 cm,248 cm,127 cm
16-Feb-12,8 cm,256 cm,127 cm
19-Feb-12,8 cm,264 cm,147 cm
20-Feb-12,13 cm,277 cm,147 cm
21-Feb-12,10 cm,287 cm,147 cm
22-Feb-12,15 cm,302 cm,147 cm
23-Feb-12,23 cm,325 cm,147 cm
24-Feb-12,5 cm,330 cm,147 cm
26-Feb-12,8 cm,338 cm,147 cm
28-Feb-12,18 cm,356 cm,147 cm
29-Feb-12,28 cm,384 cm,147 cm
1-Mar-12,36 cm,420 cm,147 cm
2-Mar-12,36 cm,456 cm,147 cm
3-Mar-12,10 cm,466 cm,147 cm
4-Mar-12,3 cm,469 cm,147 cm
18-Mar-12,38 cm,507 cm,147 cm
19-Mar-12,61 cm,568 cm,147 cm
20-Mar-12,15 cm,583 cm,147 cm
27-Mar-12,10 cm,593 cm,147 cm
2-Apr-12,20 cm,613 cm,147 cm
7-Apr-12,28 cm,641 cm,147 cm
14-Apr-12,10 cm,651 cm,147 cm
15-Apr-12,8 cm,659 cm,147 cm
19-Apr-12,8 cm,667 cm,147 cm
27-Apr-12,15 cm,682 cm,109 cm
2-May-12,10 cm,692 cm,102 cm
3-May-12,10 cm,702 cm,91 cm
9-Nov-12,13 cm,715 cm,0 cm
12-Nov-12,18 cm,733 cm,0 cm
17-Nov-12,3 cm,736 cm,0 cm
1-Dec-12,5 cm,741 cm,0 cm
2-Dec-12,5 cm,746 cm,0 cm
3-Dec-12,13 cm,759 cm,0 cm
5-Dec-12,3 cm,762 cm,0 cm
6-Dec-12,5 cm,767 cm,76 cm
7-Dec-12,3 cm,770 cm,76 cm
9-Dec-12,28 cm,798 cm,102 cm
10-Dec-12,15 cm,813 cm,102 cm
11-Dec-12,18 cm,831 cm,117 cm
14-Dec-12,3 cm,834 cm,114 cm
15-Dec-12,28 cm,862 cm,130 cm
16-Dec-12,23 cm,885 cm,145 cm
17-Dec-12,18 cm,903 cm,152 cm
18-Dec-12,23 cm,926 cm,157 cm
19-Dec-12,8 cm,934 cm,157 cm
20-Dec-12,3 cm,937 cm,152 cm
24-Dec-12,8 cm,945 cm,142 cm
26-Dec-12,3 cm,948 cm,173 cm
27-Dec-12,36 cm,984 cm,173 cm
28-Dec-12,5 cm,989 cm,173 cm
29-Dec-12,10 cm,999 cm,173 cm
9-Jan-11,10 cm,10 cm,165 cm
11-Jan-11,3 cm,13 cm,165 cm
14-Jan-11,8 cm,21 cm,165 cm
15-Jan-11,5 cm,26 cm,165 cm
17-Jan-11,15 cm,41 cm,165 cm
18-Jan-11,10 cm,51 cm,165 cm
19-Jan-11,18 cm,69 cm,165 cm
20-Jan-11,25 cm,94 cm,165 cm
21-Jan-11,3 cm,97 cm,165 cm
22-Jan-11,8 cm,105 cm,165 cm
26-Jan-11,10 cm,115 cm,165 cm
1-Feb-11,30 cm,145 cm,0 cm
5-Feb-11,8 cm,153 cm,274 cm
6-Feb-11,10 cm,163 cm,282 cm
8-Feb-11,41 cm,204 cm,282 cm
17-Feb-11,28 cm,232 cm,0 cm
20-Feb-11,51 cm,283 cm,0 cm
26-Feb-11,28 cm,311 cm,0 cm
27-Feb-11,20 cm,331 cm,0 cm
3-Mar-11,3 cm,334 cm,0 cm
8-Mar-11,53 cm,387 cm,0 cm
13-Mar-11,5 cm,392 cm,0 cm
15-Mar-11,5 cm,397 cm,0 cm
20-Mar-11,20 cm,417 cm,0 cm
21-Mar-11,8 cm,425 cm,0 cm
22-Mar-11,25 cm,450 cm,0 cm
23-Mar-11,23 cm,473 cm,0 cm
26-Mar-11,25 cm,498 cm,0 cm
29-Mar-11,8 cm,506 cm,0 cm
30-Mar-11,3 cm,509 cm,0 cm
3-Apr-11,30 cm,539 cm,0 cm
6-Apr-11,15 cm,554 cm,0 cm
7-Apr-11,3 cm,557 cm,0 cm
8-Apr-11,30 cm,587 cm,0 cm
9-Apr-11,41 cm,628 cm,0 cm
11-Apr-11,10 cm,638 cm,0 cm
14-Apr-11,20 cm,658 cm,0 cm
15-Apr-11,15 cm,673 cm,0 cm
19-Apr-11,15 cm,688 cm,0 cm
22-Apr-11,13 cm,701 cm,0 cm
26-Apr-11,25 cm,726 cm,0 cm
27-Apr-11,38 cm,764 cm,0 cm
9-May-11,13 cm,777 cm,0 cm
10-May-11,5 cm,782 cm,0 cm
18-May-11,36 cm,818 cm,0 cm
20-May-11,13 cm,831 cm,0 cm
19-Nov-11,23 cm,854 cm,74 cm
26-Nov-11,3 cm,857 cm,56 cm
27-Nov-11,3 cm,860 cm,56 cm
28-Nov-11,3 cm,863 cm,56 cm
29-Nov-11,3 cm,866 cm,56 cm
4-Dec-11,5 cm,871 cm,56 cm
14-Dec-11,13 cm,884 cm,76 cm
15-Dec-11,5 cm,889 cm,76 cm
16-Dec-11,5 cm,894 cm,76 cm
22-Dec-11,15 cm,909 cm,81 cm
23-Dec-11,3 cm,912 cm,81 cm
2-Jan-10,5 cm,5 cm,137 cm
3-Jan-10,5 cm,10 cm,137 cm
7-Jan-10,15 cm,25 cm,13 cm
20-Jan-10,33 cm,58 cm,152 cm
21-Jan-10,20 cm,78 cm,157 cm
22-Jan-10,13 cm,91 cm,178 cm
25-Jan-10,18 cm,109 cm,246 cm
28-Jan-10,8 cm,117 cm,221 cm
31-Jan-10,13 cm,130 cm,211 cm
1-Feb-10,23 cm,153 cm,218 cm
4-Feb-10,5 cm,158 cm,206 cm
11-Feb-10,3 cm,161 cm,190 cm
12-Feb-10,18 cm,179 cm,206 cm
14-Feb-10,10 cm,189 cm,221 cm
16-Feb-10,13 cm,202 cm,218 cm
18-Feb-10,5 cm,207 cm,218 cm
21-Feb-10,8 cm,215 cm,221 cm
22-Feb-10,10 cm,225 cm,224 cm
26-Feb-10,25 cm,250 cm,246 cm
1-Mar-10,3 cm,253 cm,234 cm
3-Mar-10,3 cm,256 cm,234 cm
4-Mar-10,5 cm,261 cm,226 cm
5-Mar-10,48 cm,309 cm,231 cm
8-Mar-10,5 cm,314 cm,257 cm
10-Mar-10,23 cm,337 cm,259 cm
11-Mar-10,8 cm,345 cm,262 cm
14-Mar-10,28 cm,373 cm,274 cm
19-Mar-10,3 cm,376 cm,251 cm
23-Mar-10,10 cm,386 cm,246 cm
24-Mar-10,8 cm,394 cm,259 cm
26-Mar-10,3 cm,397 cm,251 cm
31-Mar-10,3 cm,400 cm,251 cm
1-Apr-10,33 cm,433 cm,277 cm
2-Apr-10,46 cm,479 cm,302 cm
4-Apr-10,30 cm,509 cm,277 cm
5-Apr-10,13 cm,522 cm,323 cm
14-Apr-10,13 cm,535 cm,340 cm
24-Apr-10,5 cm,540 cm,274 cm
25-Apr-10,5 cm,545 cm,254 cm
26-Apr-10,5 cm,550 cm,254 cm
30-Apr-10,41 cm,591 cm,323 cm
3-May-10,28 cm,619 cm,358 cm
19-May-10,8 cm,627 cm,300 cm
24-May-10,15 cm,642 cm,312 cm
15-Nov-10,28 cm,670 cm,0 cm
16-Nov-10,13 cm,683 cm,0 cm
17-Nov-10,8 cm,691 cm,0 cm
18-Nov-10,5 cm,696 cm,0 cm
20-Nov-10,8 cm,704 cm,94 cm
21-Nov-10,28 cm,732 cm,94 cm
22-Nov-10,28 cm,760 cm,94 cm
23-Nov-10,10 cm,770 cm,137 cm
24-Nov-10,25 cm,795 cm,150 cm
29-Nov-10,38 cm,833 cm,165 cm
30-Nov-10,5 cm,838 cm,165 cm
2-Dec-10,5 cm,843 cm,145 cm
7-Dec-10,15 cm,858 cm,147 cm
9-Dec-10,3 cm,861 cm,147 cm
10-Dec-10,5 cm,866 cm,150 cm
11-Dec-10,33 cm,899 cm,150 cm
13-Dec-10,5 cm,904 cm,150 cm
14-Dec-10,5 cm,909 cm,150 cm
15-Dec-10,18 cm,927 cm,150 cm
16-Dec-10,5 cm,932 cm,157 cm
18-Dec-10,5 cm,937 cm,157 cm
19-Dec-10,13 cm,950 cm,165 cm
20-Dec-10,53 cm,1003 cm,165 cm
22-Dec-10,20 cm,1023 cm,165 cm
23-Dec-10,36 cm,1059 cm,165 cm
27-Dec-10,3 cm,1062 cm,165 cm
30-Dec-10,48 cm,1110 cm,165 cm
31-Dec-10,5 cm,1115 cm,165 cm
3-Jan-09,30 cm,30 cm,178 cm
6-Jan-09,41 cm,71 cm,196 cm
7-Jan-09,41 cm,112 cm,218 cm
9-Jan-09,18 cm,130 cm,218 cm
10-Jan-09,13 cm,143 cm,196 cm
12-Jan-09,3 cm,146 cm,203 cm
13-Jan-09,3 cm,149 cm,203 cm
23-Jan-09,13 cm,162 cm,188 cm
25-Jan-09,28 cm,190 cm,188 cm
26-Jan-09,38 cm,228 cm,244 cm
27-Jan-09,13 cm,241 cm,246 cm
28-Jan-09,5 cm,246 cm,246 cm
29-Jan-09,20 cm,266 cm,249 cm
7-Feb-09,23 cm,289 cm,229 cm
8-Feb-09,10 cm,299 cm,229 cm
9-Feb-09,13 cm,312 cm,234 cm
10-Feb-09,46 cm,358 cm,259 cm
11-Feb-09,23 cm,381 cm,259 cm
12-Feb-09,3 cm,384 cm,254 cm
13-Feb-09,13 cm,397 cm,254 cm
15-Feb-09,13 cm,410 cm,254 cm
17-Feb-09,30 cm,440 cm,264 cm
19-Feb-09,10 cm,450 cm,282 cm
24-Feb-09,3 cm,453 cm,254 cm
27-Feb-09,5 cm,458 cm,246 cm
28-Feb-09,3 cm,461 cm,249 cm
5-Mar-09,23 cm,484 cm,257 cm
6-Mar-09,13 cm,497 cm,257 cm
10-Mar-09,51 cm,548 cm,269 cm
11-Mar-09,5 cm,553 cm,269 cm
23-Mar-09,25 cm,578 cm,257 cm
24-Mar-09,43 cm,621 cm,287 cm
25-Mar-09,28 cm,649 cm,295 cm
26-Mar-09,46 cm,695 cm,330 cm
27-Mar-09,23 cm,718 cm,338 cm
30-Mar-09,48 cm,766 cm,343 cm
31-Mar-09,30 cm,796 cm,348 cm
1-Apr-09,20 cm,816 cm,343 cm
2-Apr-09,28 cm,844 cm,361 cm
3-Apr-09,28 cm,872 cm,361 cm
9-Apr-09,20 cm,892 cm,361 cm
10-Apr-09,10 cm,902 cm,361 cm
12-Apr-09,15 cm,917 cm,363 cm
15-Apr-09,53 cm,970 cm,366 cm
16-Apr-09,30 cm,1000 cm,401 cm
17-Apr-09,5 cm,1005 cm,394 cm
18-Apr-09,5 cm,1010 cm,394 cm
19-Apr-09,5 cm,1015 cm,394 cm
27-Apr-09,13 cm,1028 cm,340 cm
13-Nov-09,10 cm,1038 cm,0 cm
23-Nov-09,23 cm,1061 cm,64 cm
24-Nov-09,5 cm,1066 cm,41 cm
6-Dec-09,3 cm,1069 cm,61 cm
7-Dec-09,3 cm,1072 cm,61 cm
9-Dec-09,5 cm,1077 cm,61 cm
10-Dec-09,5 cm,1082 cm,61 cm
13-Dec-09,41 cm,1123 cm,61 cm
15-Dec-09,3 cm,1126 cm,132 cm
17-Dec-09,3 cm,1129 cm,124 cm
19-Dec-09,8 cm,1137 cm,122 cm
23-Dec-09,13 cm,1150 cm,119 cm
24-Dec-09,3 cm,1153 cm,119 cm
25-Dec-09,3 cm,1156 cm,117 cm
27-Dec-09,3 cm,1159 cm,117 cm
31-Dec-09,43 cm,1202 cm,135 cm
